division,officer_1_serial,year,black_stops,total_stops,officer_black_stop_percent,division_black__population_percent,division_black_stop_percent
HOLLYWOOD,49365,2018,58,107,0.5420560747663551,0.049494011,0.34131469664742226
HOLLYWOOD,49422,2018,61,129,0.4728682170542636,0.049494011,0.34131469664742226
HOLLYWOOD,49618,2018,50,105,0.47619047619047616,0.049494011,0.34131469664742226
HOLLYWOOD,50708,2018,92,138,0.6666666666666666,0.049494011,0.34131469664742226
HOLLYWOOD,50810,2018,55,100,0.55,0.049494011,0.34131469664742226
HOLLYWOOD,50940,2018,130,322,0.40372670807453415,0.049494011,0.34131469664742226
HOLLYWOOD,51090,2018,83,206,0.4029126213592233,0.049494011,0.34131469664742226
HOLLYWOOD,51151,2018,158,383,0.412532637075718,0.049494011,0.34131469664742226
HOLLYWOOD,51174,2018,44,109,0.4036697247706422,0.049494011,0.34131469664742226
HOLLYWOOD,52847,2018,83,180,0.46111111111111114,0.049494011,0.34131469664742226
HOLLYWOOD,53088,2018,131,229,0.5720524017467249,0.049494011,0.34131469664742226
HOLLYWOOD,53603,2018,118,262,0.45038167938931295,0.049494011,0.34131469664742226
HOLLYWOOD,54057,2018,87,178,0.4887640449438202,0.049494011,0.34131469664742226
HOLLYWOOD,54078,2018,79,183,0.43169398907103823,0.049494011,0.34131469664742226
HOLLYWOOD,54313,2018,119,240,0.49583333333333335,0.049494011,0.34131469664742226
HOLLYWOOD,54464,2018,173,436,0.3967889908256881,0.049494011,0.34131469664742226
HOLLYWOOD,54779,2018,139,269,0.516728624535316,0.049494011,0.34131469664742226
HOLLYWOOD,54992,2018,111,293,0.378839590443686,0.049494011,0.34131469664742226
HOLLYWOOD,56242,2018,261,612,0.4264705882352941,0.049494011,0.34131469664742226
HOLLYWOOD,56818,2018,59,118,0.5,0.049494011,0.34131469664742226
HOLLYWOOD,56821,2018,130,336,0.3869047619047619,0.049494011,0.34131469664742226
HOLLYWOOD,56959,2018,127,273,0.4652014652014652,0.049494011,0.34131469664742226
HOLLYWOOD,56960,2018,62,125,0.496,0.049494011,0.34131469664742226
HOLLYWOOD,57563,2018,48,122,0.39344262295081966,0.049494011,0.34131469664742226
HOLLYWOOD,57754,2018,92,212,0.4339622641509434,0.049494011,0.34131469664742226
HOLLYWOOD,57760,2018,71,179,0.39664804469273746,0.049494011,0.34131469664742226
HOLLYWOOD,57768,2018,267,544,0.49080882352941174,0.049494011,0.34131469664742226
HOLLYWOOD,57841,2018,157,339,0.4631268436578171,0.049494011,0.34131469664742226
HOLLYWOOD,57844,2018,57,123,0.4634146341463415,0.049494011,0.34131469664742226
HOLLYWOOD,57851,2018,211,430,0.4906976744186046,0.049494011,0.34131469664742226
HOLLYWOOD,57856,2018,139,351,0.396011396011396,0.049494011,0.34131469664742226
HOLLYWOOD,58026,2018,104,182,0.5714285714285714,0.049494011,0.34131469664742226
HOLLYWOOD,58842,2018,178,446,0.3991031390134529,0.049494011,0.34131469664742226
HOLLYWOOD,59419,2018,80,205,0.3902439024390244,0.049494011,0.34131469664742226
HOLLYWOOD,59516,2018,67,178,0.37640449438202245,0.049494011,0.34131469664742226
HOLLYWOOD,59684,2018,94,228,0.41228070175438597,0.049494011,0.34131469664742226
HOLLYWOOD,59801,2018,86,177,0.4858757062146893,0.049494011,0.34131469664742226
HOLLYWOOD,59984,2018,98,211,0.46445497630331756,0.049494011,0.34131469664742226
HOLLYWOOD,60125,2018,419,779,0.5378690629011553,0.049494011,0.34131469664742226
HOLLYWOOD,60345,2018,74,191,0.387434554973822,0.049494011,0.34131469664742226
HOLLYWOOD,60348,2018,41,105,0.3904761904761905,0.049494011,0.34131469664742226
HOLLYWOOD,60375,2018,115,295,0.3898305084745763,0.049494011,0.34131469664742226
HOLLYWOOD,62849,2018,108,270,0.4,0.049494011,0.34131469664742226
HOLLYWOOD,63851,2018,70,167,0.41916167664670656,0.049494011,0.34131469664742226
OLYMPIC,11716,2018,37,119,0.31092436974789917,0.029232872,0.18584438408691484
OLYMPIC,12192,2018,34,126,0.2698412698412698,0.029232872,0.18584438408691484
OLYMPIC,24891,2018,53,150,0.35333333333333333,0.029232872,0.18584438408691484
OLYMPIC,45022,2018,41,120,0.3416666666666667,0.029232872,0.18584438408691484
OLYMPIC,47936,2018,52,167,0.31137724550898205,0.029232872,0.18584438408691484
OLYMPIC,48763,2018,34,104,0.3269230769230769,0.029232872,0.18584438408691484
OLYMPIC,48819,2018,56,227,0.24669603524229075,0.029232872,0.18584438408691484
OLYMPIC,50909,2018,44,149,0.2953020134228188,0.029232872,0.18584438408691484
OLYMPIC,52558,2018,41,142,0.2887323943661972,0.029232872,0.18584438408691484
OLYMPIC,52711,2018,26,104,0.25,0.029232872,0.18584438408691484
OLYMPIC,52712,2018,25,109,0.22935779816513763,0.029232872,0.18584438408691484
OLYMPIC,52721,2018,35,123,0.2845528455284553,0.029232872,0.18584438408691484
OLYMPIC,55443,2018,206,760,0.2710526315789474,0.029232872,0.18584438408691484
OLYMPIC,55871,2018,43,178,0.24157303370786518,0.029232872,0.18584438408691484
OLYMPIC,56142,2018,50,169,0.2958579881656805,0.029232872,0.18584438408691484
OLYMPIC,57749,2018,247,757,0.32628797886393657,0.029232872,0.18584438408691484
OLYMPIC,58423,2018,25,107,0.2336448598130841,0.029232872,0.18584438408691484
OLYMPIC,62146,2018,29,123,0.23577235772357724,0.029232872,0.18584438408691484
OLYMPIC,62443,2018,54,221,0.24434389140271492,0.029232872,0.18584438408691484
OLYMPIC,62466,2018,64,240,0.26666666666666666,0.029232872,0.18584438408691484
OLYMPIC,63486,2018,76,267,0.2846441947565543,0.029232872,0.18584438408691484
OLYMPIC,63648,2018,51,179,0.2849162011173184,0.029232872,0.18584438408691484
OLYMPIC,63972,2018,38,130,0.2923076923076923,0.029232872,0.18584438408691484
OLYMPIC,64192,2018,27,117,0.23076923076923078,0.029232872,0.18584438408691484
OLYMPIC,64193,2018,51,203,0.2512315270935961,0.029232872,0.18584438408691484
OLYMPIC,64444,2018,27,119,0.226890756302521,0.029232872,0.18584438408691484
WEST LOS ANGELES,15134,2018,50,153,0.32679738562091504,0.034395039,0.1672478206724782
WEST LOS ANGELES,51951,2018,45,189,0.23809523809523808,0.034395039,0.1672478206724782
WEST LOS ANGELES,53794,2018,30,115,0.2608695652173913,0.034395039,0.1672478206724782
WEST LOS ANGELES,54134,2018,35,115,0.30434782608695654,0.034395039,0.1672478206724782
WEST LOS ANGELES,54454,2018,64,265,0.24150943396226415,0.034395039,0.1672478206724782
WEST LOS ANGELES,54921,2018,47,161,0.2919254658385093,0.034395039,0.1672478206724782
WEST LOS ANGELES,55467,2018,46,176,0.26136363636363635,0.034395039,0.1672478206724782
WEST LOS ANGELES,56143,2018,63,205,0.3073170731707317,0.034395039,0.1672478206724782
WEST LOS ANGELES,57140,2018,34,120,0.2833333333333333,0.034395039,0.1672478206724782
WEST LOS ANGELES,58139,2018,49,181,0.27071823204419887,0.034395039,0.1672478206724782
WEST LOS ANGELES,58185,2018,89,234,0.3803418803418803,0.034395039,0.1672478206724782
WEST LOS ANGELES,60707,2018,65,152,0.4276315789473684,0.034395039,0.1672478206724782
WEST LOS ANGELES,63828,2018,32,127,0.25196850393700787,0.034395039,0.1672478206724782
